open,high,low,close,Volume BTC,Volume USDT,sentiment,group,Date,time_idx
9515.38,9542.92,9507.19,9523.5,2320.71,22101531.08,0.09,BTC,2020/2/9 14:00,24383
9520.0,9553.47,9508.73,9515.38,1999.19,19054883.36,0.17,BTC,2020/2/9 13:00,24382
9500.49,9535.33,9471.99,9520.0,1683.14,16002080.06,0.17,BTC,2020/2/9 12:00,24381
9521.26,9545.0,9496.38,9500.49,1638.93,15602066.21,0.17,BTC,2020/2/9 11:00,24380
9504.45,9535.0,9490.84,9521.26,2122.47,20185247.23,0.17,BTC,2020/2/9 10:00,24379
9515.03,9539.39,9494.0,9504.45,1518.65,14451201.97,0.17,BTC,2020/2/9 09:00,24378
9512.59,9537.32,9461.07,9515.03,3829.79,36374723.39,0.13,BTC,2020/2/9 08:00,24377
9575.89,9605.26,9500.0,9512.59,3951.43,37761956.31,0.205,BTC,2020/2/9 07:00,24376
9490.03,9625.47,9485.0,9575.89,5327.54,50973432.49,0.205,BTC,2020/2/9 06:00,24375
9436.75,9552.71,9434.98,9490.03,4398.73,41747571.44,0.205,BTC,2020/2/9 05:00,24374
9450.18,9485.67,9410.01,9436.75,1501.9,14177713.01,0.262777778,BTC,2020/2/9 04:00,24373
9452.25,9459.59,9423.68,9450.18,1667.96,15753464.8,0.262777778,BTC,2020/2/9 03:00,24372
9425.97,9480.0,9391.38,9452.25,2519.93,23801807.39,0.262777778,BTC,2020/2/9 02:00,24371
9466.11,9480.0,9424.39,9425.97,2120.8,20045240.77,0.262777778,BTC,2020/2/9 01:00,24370
9447.78,9476.73,9441.67,9466.11,2156.58,20400719.58,0.262777778,BTC,2020/2/9 00:00,24369
9499.81,9537.8,9434.0,9447.78,4365.42,41350291.89,0.262777778,BTC,2020/2/8 23:00,24368
9466.65,9518.0,9435.0,9499.81,4872.71,46190323.25,0.262777778,BTC,2020/2/8 22:00,24367
9411.51,9498.21,9410.03,9466.65,5906.16,55854530.54,0.212777778,BTC,2020/2/8 21:00,24366
9423.62,9452.09,9375.86,9411.51,4999.98,47032583.0,0.212777778,BTC,2020/2/8 20:00,24365
9266.89,9440.0,9251.65,9423.62,9298.35,86962041.96,0.212777778,BTC,2020/2/8 19:00,24364
9166.9,9280.0,9156.16,9266.89,3988.71,36835825.59,0.212777778,BTC,2020/2/8 18:00,24363
9202.41,9204.98,9163.02,9166.9,1366.88,12551857.75,0.212777778,BTC,2020/2/8 17:00,24362
9190.33,9205.92,9174.13,9202.41,2086.65,19172983.84,0.212777778,BTC,2020/2/8 16:00,24361
9150.44,9191.9,9110.0,9190.33,1964.34,17988014.55,0.212777778,BTC,2020/2/8 15:00,24360
9170.56,9182.94,9126.36,9150.44,1682.42,15403479.45,0.212777778,BTC,2020/2/8 14:00,24359
9167.75,9179.85,9147.0,9170.56,1493.28,13683622.42,0.212777778,BTC,2020/2/8 13:00,24358
9181.91,9181.92,9120.01,9167.75,1730.19,15838137.34,0.212777778,BTC,2020/2/8 12:00,24357
9172.91,9201.72,9134.83,9181.91,1617.85,14846495.15,0.212777778,BTC,2020/2/8 11:00,24356
9204.37,9205.74,9155.67,9172.91,1138.65,10454068.69,0.212777778,BTC,2020/2/8 10:00,24355
9217.9,9232.6,9158.47,9204.37,1737.06,15975978.32,0.212777778,BTC,2020/2/8 09:00,24354
9266.45,9279.8,9215.43,9217.9,2582.01,23857513.55,0.212777778,BTC,2020/2/8 08:00,24353
9204.07,9280.78,9163.57,9266.45,3586.67,33032409.4,0.212777778,BTC,2020/2/8 07:00,24352
9104.01,9205.42,9095.0,9204.07,2474.53,22677147.55,0.212777778,BTC,2020/2/8 06:00,24351
9069.71,9130.0,9052.32,9104.01,1804.58,16426095.36,0.212777778,BTC,2020/2/8 05:00,24350
9165.21,9168.38,9052.39,9069.71,3308.11,30108966.46,0.212777778,BTC,2020/2/8 04:00,24349
9159.99,9176.0,9154.87,9165.21,1172.32,10745263.75,0.212777778,BTC,2020/2/8 03:00,24348
9169.48,9172.36,9137.71,9159.99,1465.59,13416491.73,0.212777778,BTC,2020/2/8 02:00,24347
9189.65,9199.12,9159.79,9169.48,1558.28,14297565.82,0.212777778,BTC,2020/2/8 01:00,24346
9170.24,9218.92,9163.45,9189.65,3001.41,27573943.52,0.212777778,BTC,2020/2/8 00:00,24345
9148.0,9196.73,9135.88,9170.24,2347.2,21526837.28,0.212777778,BTC,2020/2/7 23:00,24344
9153.02,9225.0,9125.1,9148.0,5192.79,47613795.94,0.212777778,BTC,2020/2/7 22:00,24343
9147.25,9169.89,9120.0,9153.02,3255.38,29758646.92,0.132777778,BTC,2020/2/7 21:00,24342
9145.0,9182.99,9126.03,9147.25,4421.48,40480242.96,0.132777778,BTC,2020/2/7 20:00,24341
9150.74,9190.0,9125.32,9145.0,5395.87,49440210.95,0.132777778,BTC,2020/2/7 19:00,24340
9128.0,9160.0,9107.15,9150.74,4828.1,44086078.66,0.132777778,BTC,2020/2/7 18:00,24339
8923.57,9170.0,8918.51,9128.0,9556.04,86674763.07,0.132777778,BTC,2020/2/7 17:00,24338
8930.0,8940.0,8902.91,8923.57,2475.39,22088502.82,0.132777778,BTC,2020/2/7 16:00,24337
8844.28,8955.0,8844.0,8930.0,4527.56,40368189.64,0.132777778,BTC,2020/2/7 15:00,24336
8846.37,8862.5,8829.4,8844.28,1618.07,14317859.02,0.132777778,BTC,2020/2/7 14:00,24335
8878.0,8887.75,8831.82,8846.37,1473.18,13040656.09,0.132777778,BTC,2020/2/7 13:00,24334
8859.62,8881.69,8855.35,8878.0,1619.33,14358451.16,0.132777778,BTC,2020/2/7 12:00,24333
8828.9,8860.68,8825.0,8859.62,1160.21,10258329.21,0.132777778,BTC,2020/2/7 11:00,24332
8822.59,8854.68,8820.43,8828.9,1114.54,9852403.52,0.132777778,BTC,2020/2/7 10:00,24331
8855.0,8878.16,8811.73,8822.59,1726.73,15283097.62,0.132777778,BTC,2020/2/7 09:00,24330
8886.87,8893.0,8845.79,8855.0,1131.99,10033447.01,0.132777778,BTC,2020/2/7 08:00,24329
8841.18,8897.8,8832.61,8886.87,2281.67,20233869.73,0.132777778,BTC,2020/2/7 07:00,24328
8834.92,8859.0,8815.0,8841.18,1198.69,10593583.71,0.132777778,BTC,2020/2/7 06:00,24327
8842.25,8843.95,8801.12,8834.92,1506.87,13297226.35,0.132777778,BTC,2020/2/7 05:00,24326
8856.2,8880.0,8825.63,8842.25,1366.3,12093284.44,0.132777778,BTC,2020/2/7 04:00,24325
8800.0,8880.0,8799.99,8856.2,2401.14,21232780.44,0.132777778,BTC,2020/2/7 03:00,24324
8810.99,8811.0,8760.2,8800.0,1929.68,16955002.46,0.132777778,BTC,2020/2/7 02:00,24323
8811.03,8819.99,8792.0,8810.99,1630.4,14357130.98,0.132777778,BTC,2020/2/7 01:00,24322
8790.01,8820.0,8782.73,8811.03,1894.61,16680169.44,0.132777778,BTC,2020/2/7 00:00,24321
8726.6,8808.45,8700.0,8790.01,3823.67,33537891.83,0.132777778,BTC,2020/2/6 23:00,24320
8817.17,8837.26,8705.0,8726.6,4695.01,41149177.49,0.132777778,BTC,2020/2/6 22:00,24319
8809.22,8858.96,8791.91,8817.17,2496.26,22037451.72,0.132777778,BTC,2020/2/6 21:00,24318
8817.21,8862.0,8785.03,8809.22,2526.02,22294523.04,0.132777778,BTC,2020/2/6 20:00,24317
8869.15,8914.56,8788.04,8817.21,3863.57,34136531.57,0.132777778,BTC,2020/2/6 19:00,24316
8861.41,8886.0,8841.0,8869.15,1854.77,16441982.09,0.132777778,BTC,2020/2/6 18:00,24315
8893.7,8900.0,8832.38,8861.41,3376.8,29946489.56,0.132777778,BTC,2020/2/6 17:00,24314
8960.01,8993.0,8870.0,8893.7,3373.33,30098451.45,0.132777778,BTC,2020/2/6 16:00,24313
8957.49,9017.67,8943.01,8960.01,3748.07,33669900.93,0.132777778,BTC,2020/2/6 15:00,24312
8887.59,8965.0,8860.05,8957.49,3930.14,35087963.74,0.132777778,BTC,2020/2/6 14:00,24311
8937.43,8940.0,8881.26,8887.59,2033.59,18112917.97,0.057777778,BTC,2020/2/6 13:00,24310
8905.82,8940.0,8891.93,8937.43,1925.27,17169416.69,0.057777778,BTC,2020/2/6 12:00,24309
8903.76,8926.26,8880.15,8905.82,1509.13,13442780.51,0.057777778,BTC,2020/2/6 11:00,24308
8882.4,8930.0,8871.58,8903.76,1593.12,14192994.45,0.057777778,BTC,2020/2/6 10:00,24307
8881.53,8917.88,8871.89,8882.4,1471.25,13087499.23,0.057777778,BTC,2020/2/6 09:00,24306
8866.06,8892.25,8856.07,8881.53,1396.12,12388739.42,0.057777778,BTC,2020/2/6 08:00,24305
8900.35,8925.0,8822.74,8866.06,2755.98,24451239.37,0.057777778,BTC,2020/2/6 07:00,24304
8903.3,8940.0,8889.9,8900.35,1495.51,13332976.99,0.057777778,BTC,2020/2/6 06:00,24303
8900.0,8923.57,8865.1,8903.3,1170.05,10413594.35,0.057777778,BTC,2020/2/6 05:00,24302
8913.54,8926.55,8860.98,8900.0,1511.93,13445835.71,0.057777778,BTC,2020/2/6 04:00,24301
8928.06,8950.0,8896.13,8913.54,1568.79,13993623.99,0.0,BTC,2020/2/6 03:00,24300
8886.17,8979.66,8871.46,8928.06,3497.83,31250541.02,0.0,BTC,2020/2/6 02:00,24299
8893.5,8909.92,8860.0,8886.17,2232.68,19835667.59,0.0,BTC,2020/2/6 01:00,24298
8810.07,8918.0,8792.3,8893.5,3519.38,31193080.9,0.0,BTC,2020/2/6 00:00,24297
8782.44,8847.7,8762.27,8810.07,2474.41,21816768.21,0.0,BTC,2020/2/5 23:00,24296
8755.95,8806.46,8742.53,8782.44,2295.13,20133029.35,0.0,BTC,2020/2/5 22:00,24295
